Grain          Time [ms]      Tasks          
1              54.7191        640000         
2              41.5902        262144         
4              46.9102        65536          
5              45.7261        65536          
8              61.4135        16384          
10             61.7951        16384          
16             72.8658        4096           
20             71.86          4096           
25             79.481         1024           
32             78.5268        1024           
40             78.6307        1024           
50             81.8617        256            
80             81.9006        256            
100            82.6567        64             
160            82.8493        64             
200            83.6507        16             
400            83.7465        4              
800            150.573        1              
